"","countriesAndTerritories","geoId","date","cases","deaths","cum_cases","cum_deaths","cum_deaths_400","est_ccfr","est_ccfr_low","est_ccfr_high","sample_size","mean_cases","mean_reach","dunbar_reach","cases_p_reach","cases_p_reach_low","cases_p_reach_high","cases_p_reach_error","cases_p_reach_prop","cases_p_reach_prop_median","estimated_cases","estimate_cases_low","estimate_cases_high","estimate_cases_error","prop_cases","dunbar_cases","prop_cases_low","prop_cases_high","prop_cases_error","dunbar_cases_low","dunbar_cases_high","dunbar_cases_error","survey_twitter"
"108","Spain","ES","2020/04/16",4040,617,181504,18893,7557200,2157309.29863134,2153050.19175047,2161576.83076467,118,4.42372881355932,67.7203389830509,17700,0.0376532247522669,0.0320178902348618,0.043288559269672,0.00541767409660231,0.0444871455500692,0.05,1767240.09674804,1502747.76751807,2031732.42597801,253134.044653448,2087987.62717435,1377954.63152542,1823082.1682059,2352893.08614281,263521.435649069,1261502.5047727,1494406.75827814,116452.126752721,NA
"109","Spain","ES","2020/04/17",4400,585,185904,19478,7791200,2177157.79162382,2172864.6316673,2181459.43403347,31,6.93548387096774,100.129032258065,4650,0.0387953878348751,0.0334592267071142,0.0441315489626361,0.00893220173315446,0.0447255429827208,0.05,1820847.09614559,1570396.35866607,2071297.83362511,417345.951797274,2099176.72199201,2160345.38387097,1848005.4160025,2350348.02798152,394065.018688745,1878330.26861727,2442360.49912466,282015.115253695,NA
"110","Spain","ES","2020/04/18",4104,565,190008,20043,8017200,2193491.34973705,2189170.69429599,2197820.53263715,32,6.65625,79.5,4800,0.0389962919771335,0.03291396229952,0.0450786216547469,0.0107630007127418,0.0457169658878823,0.0708333333333333,1830276.45732614,1544804.576534,2115748.33811829,502887.74378897,2145708.78723645,2073366.361875,1858193.32771989,2433224.24675301,482357.66153589,1801172.64942627,2345560.07432373,272193.712448732,NA
"111","Spain","ES","2020/04/19",-1430,410,188578,20453,8181200,2133064.73248578,2128865.95576524,2137271.79048204,NA,NA,NA,NA,0.0398269316526653,0.0335867428526121,0.0460671204527184,NA,0.0465957135229779,NA,1869262.22149927,1576381.28151901,2162143.16147953,NA,2186952.48059554,NA,1891970.8865751,2481934.07461597,NA,NA,NA,NA,NA
"112","Spain","ES","2020/04/20",2585,399,191163,20852,8340800,2122819.93367293,2118644.03387778,2127004.06426987,NA,NA,NA,NA,0.0397142113824327,0.0335368419582037,0.0458915808066617,NA,0.046356887929103,NA,1863971.73754784,1574039.20160308,2153904.27349261,NA,2175743.29019014,NA,1883712.08956371,2467774.49081657,NA,NA,NA,NA,NA
"113","Spain","ES","2020/04/21",3352,430,194515,21282,8512800,2130294.39587809,2126106.7985723,2134490.24110971,37,8.51351351351351,86.7567567567568,5550,0.0434635435000124,0.036686284666301,0.0502408023337239,0.0102912967987512,0.0504043259478603,0.1,2039945.2457349,1721857.12351494,2358033.36795486,480847.968509353,2365708.28795357,2651888.45675676,2049924.29372992,2681492.28217722,497803.80172034,2367468.59665201,2936308.31686151,284419.860104752,NA
"114","Spain","ES","2020/04/22",2627,435,197142,21717,8686800,2135186.4371676,2130992.23893265,2139388.89038278,NA,NA,NA,NA,0.0436909775325375,0.0369958585870742,0.0503860964780007,NA,0.050290194413102,NA,2050619.777446,1736386.86032493,2364852.69456707,NA,2360351.56682662,NA,2047992.55059653,2672710.58305671,NA,NA,NA,NA,NA
"115","Spain","ES","2020/04/23",3052,440,200194,22157,8862800,2148848.32871753,2144630.30964181,2153074.64371486,NA,NA,NA,NA,0.0438282714190846,0.0372871781328752,0.050369364705294,NA,0.0504411612877551,NA,2057063.61493777,1750059.83483623,2364067.39503931,NA,2367437.14092878,NA,2062612.00274956,2672262.27910801,NA,NA,NA,NA,NA
"116","Spain","ES","2020/04/24",2767,367,202961,22524,9009600,2155365.04757539,2151136.58289981,2159601.82409581,38,9.1578947368421,97.6842105263158,5700,0.0427609916080102,0.0365070457223626,0.0490149374936578,0.00937678061788146,0.0490092743838264,0.0775,2006971.23403308,1713444.61035808,2300497.85770808,438118.344017958,2300232.06175482,2852607.83368421,2009225.85182045,2591238.27168919,442571.431168615,2562191.41596865,3143024.25139978,290416.417715565,NA
"117","Spain","ES","2020/04/25",2944,378,205905,22902,9160800,2167288.43414921,2163038.98918387,2171546.22745343,NA,NA,NA,NA,0.0429031240013802,0.0367363075729531,0.0490699404298072,NA,0.0494464530092095,NA,2013642.16504265,1724204.93003014,2303079.40005516,NA,2320750.87790673,NA,2034069.14660207,2607432.60921139,NA,NA,NA,NA,NA
"118","Spain","ES","2020/04/26",1729,288,207634,23190,9276000,2160170.16553371,2155936.32946421,2164412.31602679,30,8.53333333333333,94.4333333333333,4500,0.0442865121426402,0.0384233855972731,0.0501496386880074,0.0105573621919019,0.0502240042660209,0.09,2078570.9728323,1803387.30950857,2353754.63615603,493279.541156515,2357244.9568961,2658062.16533333,2082989.46111584,2631500.45267637,527653.337451941,2341852.84051405,2974271.49015262,316209.324819286,NA
"119","Spain","ES","2020/04/27",1831,0,209465,23190,9276000,2129983.22391792,2125807.97003037,2134166.67833218,NA,NA,NA,NA,0.0473625224751744,0.0408698514237583,0.0538551935265905,NA,0.0537211096744348,NA,2222942.37351395,1918211.27298937,2527673.47403853,NA,2521380.2983168,NA,2218235.66161365,2824524.93501995,NA,NA,NA,NA,NA
"120","Spain","ES","2020/04/28",1308,632,210773,23822,9528800,2154860.38139754,2150640.6423444,2159088.39993602,NA,NA,NA,NA,0.051293866047826,0.0441619271350585,0.0584258049605935,NA,0.0561892943300178,NA,2407458.52163654,2072723.62184708,2742193.42142601,NA,2637223.6269619,NA,2308048.70337044,2966398.55055335,NA,NA,NA,NA,NA
"121","Spain","ES","2020/04/29",2144,453,212917,24275,9710000,2173965.10644527,2169710.7851663,2178227.76950402,NA,NA,NA,NA,0.0545796223709453,0.0469978191957036,0.062161425546187,NA,0.0601759513102444,NA,2561674.2723608,2205825.16076161,2917523.38395998,NA,2824335.88929243,NA,2474351.10282768,3174320.67575719,NA,NA,NA,NA,NA
"122","Spain","ES","2020/04/30",518,268,213435,24543,9817200,2162215.1063907,2157985.22379173,2166453.28001346,36,7.22222222222222,80.2222222222222,5400,0.055438883198805,0.0479316624279279,0.0629461039696821,0.0104388260844293,0.0606947587586171,0.08,2602003.35967136,2249654.74547637,2954351.97386635,487741.089823528,2848685.92388543,2249661.98888889,2501737.18931776,3195634.65845311,521438.914453974,1982875.7852962,2516448.19248157,266786.203592686,NA
"123","Spain","ES","2020/05/01",1781,281,215216,24824,9929600,2166764.66645415,2162527.41751527,2171010.21784432,NA,NA,NA,NA,0.056756713300801,0.0491493823885156,0.0643640442130864,NA,0.0630344394571749,NA,2663855.22527575,2306807.97883473,3020902.47171676,NA,2958497.96711103,NA,2605655.92822977,3311340.00599228,NA,NA,NA,NA,NA
"124","Spain","ES","2020/05/02",1366,276,216582,25100,10040000,2168971.46442887,2164731.3939227,2173219.83998293,NA,NA,NA,NA,0.0568328171159376,0.0493207458391465,0.0643448883927288,NA,0.0631264054868005,NA,2667427.12952857,2314850.85864289,3020003.40041424,NA,2962814.35850014,NA,2614634.74403175,3310993.97296853,NA,NA,NA,NA,NA
"125","Spain","ES","2020/05/03",884,164,217466,25264,10105600,2158760.72534179,2154541.35456447,2162988.35917227,NA,NA,NA,NA,0.0550861200045606,0.0480179136026103,0.0621543264065109,NA,0.0627617578018515,NA,2585446.55037741,2253702.91227465,2917190.18848017,NA,2945699.755056,NA,2615398.6161297,3276000.8939823,NA,NA,NA,NA,NA
"126","Spain","ES","2020/05/04",545,164,218011,25428,10171200,2147257.4408932,2143061.30226219,2151461.79561182,35,7.6,94.8571428571429,5250,0.0552582163000675,0.0483070496655477,0.0622093829345873,0.00923456197202856,0.0625502505512388,0.07,2593523.82598721,2267273.40583001,2919774.24614441,431473.355706008,2935772.74092919,2367336.616,2610963.90141544,3260581.58044294,444763.84221224,2090147.19373389,2644526.03826611,277189.422266111,NA
"127","Spain","ES","2020/05/05",1318,185,219329,25613,10245200,2147165.14808895,2142970.08589617,2151368.42250407,NA,NA,NA,NA,0.054107294459154,0.0470826625682715,0.0611319263500366,NA,0.0626602313135838,NA,2539505.73752686,2209807.25289135,2869204.22216236,NA,2940934.64709701,NA,2613881.0504559,3267988.24373811,NA,NA,NA,NA,NA
"128","Spain","ES","2020/05/06",996,244,220325,25857,10342800,2150678.60435072,2146477.95462368,2154887.47473434,NA,NA,NA,NA,0.0545193042759609,0.0475354403230785,0.0615031682288434,NA,0.0629159772002465,NA,2558843.26501104,2231058.20837989,2886628.32164218,NA,2952937.98515005,NA,2627802.59669641,3278073.37360369,NA,NA,NA,NA,NA
"129","Spain","ES","2020/05/07",1122,213,221447,26070,10428000,2154358.52482621,2150151.76662531,2158573.51352267,51,11.8823529411765,101.058823529412,7650,0.054041492576297,0.0470327445125353,0.0610502406400587,0.0087938288679088,0.0646118252202769,0.12,2536417.35063326,2207464.36751489,2865370.33375164,410880.652773125,3032531.98111471,3701253.84235294,2709857.28348877,3355206.67874065,417992.500854217,3418479.75703728,3984027.9276686,282774.085315663,NA
"130","Spain","ES","2020/05/08",1410,181,222857,26251,10500400,2159526.72134776,2155310.75345602,2163750.9360249,NA,NA,NA,NA,0.0558386092468194,0.0476436829469918,0.064033535546647,NA,0.0673688956795397,NA,2620764.35303683,2236138.535667,3005390.17040665,NA,3161934.05749,NA,2786903.76925616,3536964.34572385,NA,NA,NA,NA,NA
"131","Spain","ES","2020/05/09",721,227,223578,26478,10591200,2162892.52792309,2158671.15036928,2167122.16056867,NA,NA,NA,NA,0.0556676463886187,0.0477028415094677,0.0636324512677696,NA,0.067015656251966,NA,2612740.27488536,2238915.12078982,2986565.4289809,NA,3145354.8963619,NA,2780832.63785349,3509877.15487031,NA,NA,NA,NA,NA
"132","Spain","ES","2020/05/10",812,143,224390,26621,10648400,2161259.64568881,2157042.10556435,2165485.43212643,35,9.71428571428571,97.4,5250,0.0550030760607761,0.0472196493684184,0.0627865027531337,0.0100587842224503,0.0660525887325971,0.09,2581548.91376823,2216236.67739715,2946861.15013931,469984.109254927,3100153.68060143,3025918.98285714,2743690.53179257,3456616.8294103,469660.242156857,2714871.26253786,3336966.70317643,311047.720319285,NA
"133","Spain","ES","2020/05/11",3046,123,227436,26744,10697600,2180475.88486569,2176221.38670592,2184738.70054073,NA,NA,NA,NA,0.0552751807412089,0.0474157457967487,0.0631346156856692,NA,0.0667857394453135,NA,2594320.04572141,2225440.39031296,2963199.70112985,NA,3134563.83657072,NA,2774403.59441103,3494724.0787304,NA,NA,NA,NA,NA
"134","Spain","ES","2020/05/12",594,176,228030,26920,10768000,2181059.27933217,2176804.49886338,2185322.37619172,50,4.32,74.76,7500,0.0560790041045482,0.0484257361029788,0.0637322721061176,0.00748015671647991,0.0663861401091755,0.06,2632047.19625744,2272843.90961948,2991250.48289541,349500.964901472,3115808.79038003,1345643.9712,2762722.54472948,3468895.03603058,387064.602470235,1168793.70319136,1522494.23920864,176850.268008641,NA
