"","date","cases_p_reach","cases_p_reach_prop","variance_p_reach","variance_p_reach_prop","cases_p_reach_low","cases_p_reach_high","cases_p_reach_prop_low","cases_p_reach_prop_high","estimate_cases_reach","estimate_cases_reach_low","estimate_cases_reach_high","estimate_cases_reach_prop","estimate_cases_reach_prop_low","estimate_cases_reach_prop_high"
"37","2020/04/23",0.0438282714190846,0.0504411612877551,1.11375211835937e-05,1.09800079839389e-05,0.0372871781328752,0.050369364705294,0.0439464866483986,0.0569358359271115,2057063.61493777,1750059.83483623,1750059.83483623,2367437.14092878,2062612.00274956,2672262.27910801
"38","2020/04/24",0.0427609916080102,0.0490092743838264,1.01811326376011e-05,1.00070394221583e-05,0.0365070457223626,0.0490149374936578,0.0428090290141524,0.0552095197535003,2006971.23403308,1713444.61035808,1713444.61035808,2300232.06175482,2009225.85182045,2591238.27168919
"39","2020/04/25",0.0429031240013802,0.0494464530092095,9.89942338138217e-06,9.71183140032431e-06,0.0367363075729531,0.0490699404298072,0.0433383459777729,0.0555545600406462,2013642.16504265,1724204.93003014,1724204.93003014,2320750.87790673,2034069.14660207,2607432.60921139
"40","2020/04/26",0.0442865121426402,0.0502240042660209,8.94842068070302e-06,8.88815818912516e-06,0.0384233855972731,0.0501496386880074,0.044380653472226,0.0560673550598158,2078570.9728323,1803387.30950857,1803387.30950857,2357244.9568961,2082989.46111584,2631500.45267637
"41","2020/04/27",0.0473625224751744,0.0537211096744348,1.09732344288568e-05,1.08592760980911e-05,0.0408698514237583,0.0538551935265905,0.0472622401867902,0.0601799791620794,2222942.37351395,1918211.27298937,1918211.27298937,2521380.2983168,2218235.66161365,2824524.93501995
"42","2020/04/28",0.051293866047826,0.0561892943300178,1.32404603955246e-05,1.28042629436505e-05,0.0441619271350585,0.0584258049605935,0.0491758175513917,0.0632027711086439,2407458.52163654,2072723.62184708,2072723.62184708,2637223.6269619,2308048.70337044,2966398.55055335
"43","2020/04/29",0.0545796223709453,0.0601759513102444,1.49634890118972e-05,1.44743619971865e-05,0.0469978191957036,0.062161425546187,0.052719094797719,0.0676328078227697,2561674.2723608,2205825.16076161,2205825.16076161,2824335.88929243,2474351.10282768,3174320.67575719
"44","2020/04/30",0.055438883198805,0.0606947587586171,1.46705444873722e-05,1.42243265157666e-05,0.0479316624279279,0.0629461039696821,0.0533025890674527,0.0680869284497814,2602003.35967136,2249654.74547637,2249654.74547637,2848685.92388543,2501737.18931776,3195634.65845311
"45","2020/05/01",0.056756713300801,0.0630344394571749,1.50644220140079e-05,1.47116621594094e-05,0.0491493823885156,0.0643640442130864,0.0555167056662252,0.0705521732481246,2663855.22527575,2306807.97883473,2306807.97883473,2958497.96711103,2605655.92822977,3311340.00599228
"46","2020/05/02",0.0568328171159376,0.0631264054868005,1.46895082433337e-05,1.43254336445908e-05,0.0493207458391465,0.0643448883927288,0.0557080103848219,0.0705448005887791,2667427.12952857,2314850.85864289,2314850.85864289,2962814.35850014,2614634.74403175,3310993.97296853
