"","date","r_c","r_r","r_r_recent","I_c_p_w_country","I_c_p_m_country","I_c_recent_p_w_country","I_c_recent_p_m_country","I_r_p_w_country","I_r_p_m_country","I_r_recent_p_w_country","I_r_recent_p_m_country","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"46","2020/05/04",4775,5379,0,0.0969633507853403,0.0902626451562622,NA,NA,0.0532765483705434,0.0600550040495508,0,0,0.0738206178535703,0.0742603897383973,NA,NA
"47","2020/05/05",4775,5489,0,0.0969633507853403,0.0902626451562622,NA,NA,0.0551204945624758,0.062307976628737,0,0,0.0745865544284323,0.0753129982790617,NA,NA
"48","2020/05/06",4775,5439,680,0.0969633507853403,0.0902626451562622,NA,NA,0.0620228772859459,0.068590947487037,0,0,0.0783573947090522,0.078722370668019,NA,NA
"49","2020/05/07",4775,5378,2061,0.103455497382199,0.0968583898371132,0.05,0.05,0.0511823737846414,0.0626758624921059,0.00390327517367153,0.00341536577696259,0.0757666508631736,0.0787520535757669,0.0361022015993179,0.0359551007703803
"50","2020/05/08",4775,5447,2390,0.103455497382199,0.0968583898371132,0.05,0.05,0.0517375037453521,0.0614835239644384,0.00123219629049782,0.000991731317443091,0.0758965156428227,0.0780081751620536,0.0337327214423294,0.0336525105162162
"51","2020/05/09",4775,5390,3158,0.103455497382199,0.0968583898371132,0.05,0.05,0.0593408531322346,0.0697922485713161,0.000957886214942904,0.000850124015761828,0.0800636692949085,0.0825065451324751,0.0304771214757078,0.0304342230734622
"52","2020/05/10",4775,5400,3168,0.103455497382199,0.0968583898371132,0.05,0.05,0.0497684983605249,0.0595431538507551,0.000319295404980968,0.000377832895894146,0.0749631342650452,0.0770547265126578,0.0301852609647463,0.0302086081599135
"53","2020/05/11",4780,5352,3372,0.10418410041841,0.0968016522484608,0.028169014084507,0.025,0.0526492069174787,0.0628177769184456,0.00131606912316201,0.00122930420275072,0.0769619577005869,0.0788504381973118,0.0170615397948045,0.0151674697953478
"54","2020/05/12",4740,5282,4542,0.106329113924051,0.0989293118229288,0.0240963855421687,0.02,0.0518357847423046,0.0644950075908202,0.00117169140372787,0.000984486809240571,0.0776089218727652,0.0807810385287762,0.0128785487853492,0.0106950591561701
"55","2020/05/13",4740,5492,4752,0.106329113924051,0.0989293118229288,0.0240963855421687,0.02,0.0541296658382884,0.0658396416221004,0.000774942430611192,0.00064872605690699,0.0783111928053049,0.0811685154250643,0.012420922239796,0.0103121308704617
