Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Recovered,Fatalities,RecentCases,RecentCasesNursing,StillSick,Tested,Positive,Hospital,Severe,ICU,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,10,0,0,0,0,0,0,1,0,0,0,0,,Y,N,limesurvey-5736,k9dqaspbyzkd8w1t9u,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,14,1,1,0,0,0,0,0,0,0,0,0,,Y,Y,limesurvey-5201,q2qj98u6xykd8ht759,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,9,0,0,,0,0,0,,,,,,,Y,Y,limesurvey-5429,b5sau5aqpakd8ky4x6,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,4,1,1,0,0,0,0,1,0,0,0,0,,N,N,limesurvey-5515,vu5subzlfwkd8mvtaq,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,30,2,2,0,0,,0,1,0,0,0,0,,Y,N,limesurvey-5333,3zjstjc6m9kd8je8c0,
2020/07/30,Spain,ES,"Arganda del Rey",ESMAR,en,40,2,2,0,0,,0,2,0,0,0,0,,Y,Y,limesurvey-5581,7e2t6uiyclkd8ox4ad,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,50,5,5,0,0,0,0,,,0,0,0,,N,N,limesurvey-5216,qu99usnvp0kd8i3fpv,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,4,0,0,0,0,0,0,0,0,0,0,0,,N,Y,limesurvey-5440,cp1ugl3o9okd8l1hzo,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,20,0,0,0,0,0,0,4,0,0,0,0,,Y,Y,limesurvey-5220,wioxyhvjuvkd8i5apw,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,6,0,0,0,0,0,0,2,0,0,0,0,,Y,N,limesurvey-5783,27um0t9dgskd8y0dgp,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,10,0,,,,,,0,,,,,,N,N,limesurvey-5336,5vffn74gt9kd8j9sx6,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,en,8,0,,,,,,2,0,0,,,,,N,limesurvey-5738,72pjb62bgokd8w1c1h,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,3,0,0,0,0,0,0,1,0,0,0,0,,N,N,limesurvey-5949,cwecg5fe2wkd9b7zhg,
2020/07/30,Spain,ES,"Arganda del Rey",ESMAR,en,20,1,1,0,0,0,0,6,0,0,0,0,,N,N,limesurvey-5398,nk5v12z623kd8k1oz6,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,3,1,1,0,0,0,0,0,,0,0,0,,N,N,limesurvey-5647,7ppqaev1pmkd8ti51d,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,en,6,9,7,2,0,,0,1,,0,,,,Y,Y,limesurvey-5944,xychlva9t1kd9azt1o,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,en,70,5,3,2,0,0,0,8,3,3,2,2,,Y,N,limesurvey-5892,eiv8t5fayc8c1p0w55,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,10,0,0,0,0,0,0,2,0,0,0,0,,N,N,limesurvey-5932,wxq59g4rdkkd9a96dc,
2020/07/30,Spain,ES,"Arganda del Rey",ESMAR,en,40,5,5,0,0,0,0,0,,0,0,0,,N,Y,limesurvey-5543,smrcpfnqe8kd8nq8rx,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,200,5,5,0,0,0,0,7,1,0,0,0,,Y,Y,limesurvey-5332,kpsoym5putkd8j7h32,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,15,2,2,,0,0,0,,,,,,,Y,N,limesurvey-5481,rcdnk9l05hkd8lzfnd,
