"Timestamp","Por favor, elige una comunidad autónoma.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/25 12:26:32 PM GMT+1","Comunidad de Madrid","100","9"
"2020/03/25 12:26:35 PM GMT+1","Comunidad Foral de Navarra","100","3"
"2020/03/25 12:26:36 PM GMT+1","Comunidad de Madrid","50","4"
"2020/03/25 12:26:37 PM GMT+1","Comunidad de Madrid","300","10"
"2020/03/25 12:26:42 PM GMT+1","País Vasco","100","3"
"2020/03/25 12:26:45 PM GMT+1","Todo el país","20","0"
"2020/03/25 12:26:55 PM GMT+1","Comunidad de Madrid","250","20"
"2020/03/25 12:26:57 PM GMT+1","Aragón","100","0"
"2020/03/25 12:27:01 PM GMT+1","Comunidad de Madrid","200","5"
"2020/03/25 12:27:02 PM GMT+1","Cataluña","100","2"
"2020/03/25 12:27:21 PM GMT+1","Galicia","40","0"
"2020/03/25 12:27:22 PM GMT+1","Región de Murcia","25","0"
"2020/03/25 12:27:23 PM GMT+1","Comunidad Valenciana","35","1"
"2020/03/25 12:27:27 PM GMT+1","Galicia","100","0"
"2020/03/25 12:27:34 PM GMT+1","Comunidad de Madrid","120","0"
"2020/03/25 12:27:43 PM GMT+1","Comunidad de Madrid","50","5"
"2020/03/25 12:27:54 PM GMT+1","Andalucía","100","1"
"2020/03/25 12:27:59 PM GMT+1","Andalucía","100","2"
"2020/03/25 12:28:06 PM GMT+1","Todo el país","250","15"
"2020/03/25 12:28:07 PM GMT+1","Castilla-La Mancha","35","01"
"2020/03/25 12:28:21 PM GMT+1","Castilla y León","100","5"
"2020/03/25 12:28:23 PM GMT+1","Comunidad Valenciana","100","5"
"2020/03/25 12:28:26 PM GMT+1","Comunidad de Madrid","100","10"
"2020/03/25 12:28:27 PM GMT+1","Comunidad de Madrid","25","1"
"2020/03/25 12:28:43 PM GMT+1","Comunidad Valenciana","200","1"
"2020/03/25 12:28:43 PM GMT+1","Comunidad de Madrid","100","9"
"2020/03/25 12:28:48 PM GMT+1","Comunidad Valenciana","100","2"
"2020/03/25 12:28:48 PM GMT+1","Andalucía","30","3"
"2020/03/25 12:28:58 PM GMT+1","Cataluña","100","10"
"2020/03/25 12:28:59 PM GMT+1","Andalucía","50","0"
"2020/03/25 12:29:06 PM GMT+1","Canarias","100","10"
