"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"18564","2020/04/28",0,0,7,1,0,0,1.75055377029568e-05,3.41198571940403e-06,8.98139310861973e-05,0,0,0,4525698
"18563","2020/04/29",0,0,7,1,0,0,1.73839276926283e-05,3.38828284174221e-06,8.91899986328002e-05,0,0,0,4525698
"18562","2020/04/30",0,0,7,1,0,0,1.72746968862048e-05,3.36699278153612e-06,8.86295789366402e-05,0,0,0,4525698
"18561","2020/05/01",1,0,8,1,11.1049668377303,10.1049668377303,1.96300625233593e-05,3.65162655517302e-06,0.000105525400489026,11.1049668377303,2.45375781541991e-06,2.2327974243377e-06,4525698
"18560","2020/05/02",0,0,8,1,11.1049668377303,10.1049668377303,1.94825149148439e-05,3.62417943090808e-06,0.000104732228258359,0,2.45375781541991e-06,2.2327974243377e-06,4525698
"18559","2020/05/03",0,0,8,1,11.1049668377303,10.1049668377303,1.9253261446969e-05,3.58153320651826e-06,0.000103499829534095,0,2.45375781541991e-06,2.2327974243377e-06,4525698
"18558","2020/05/04",0,0,8,1,11.1049668377303,10.1049668377303,1.89826523009523e-05,3.53119390971309e-06,0.000102045114936247,0,2.45375781541991e-06,2.2327974243377e-06,4525698
"18557","2020/05/05",0,0,8,1,11.1049668377303,10.1049668377303,1.87065201351344e-05,3.47982720885629e-06,0.000100560710220207,0,2.45375781541991e-06,2.2327974243377e-06,4525698
"18556","2020/05/06",0,0,8,1,11.1049668377303,10.1049668377303,1.8444131310863e-05,3.43101707402609e-06,9.91501856366945e-05,0,2.45375781541991e-06,2.2327974243377e-06,4525698
"18555","2020/05/07",0,0,8,1,11.1049668377303,10.1049668377303,1.8203698488752e-05,3.38629124205735e-06,9.7857690016073e-05,0,2.45375781541991e-06,2.2327974243377e-06,4525698
"18554","2020/05/08",0,0,8,1,11.1049668377303,10.1049668377303,1.79875036615575e-05,3.34607421416276e-06,9.66954906753318e-05,0,2.45375781541991e-06,2.2327974243377e-06,4525698
"18553","2020/05/09",0,0,8,1,11.1049668377303,10.1049668377303,1.77949545204964e-05,3.31025580778542e-06,9.5660403537932e-05,0,2.45375781541991e-06,2.2327974243377e-06,4525698
"18552","2020/05/10",0,0,8,1,11.1049668377303,10.1049668377303,1.76242120343021e-05,3.27849392236393e-06,9.47425425166177e-05,0,2.45375781541991e-06,2.2327974243377e-06,4525698
"18551","2020/05/11",0,0,8,1,11.1049668377303,10.1049668377303,1.74730129420255e-05,3.25036754121675e-06,9.39297409910459e-05,0,2.45375781541991e-06,2.2327974243377e-06,4525698
"18550","2020/05/12",0,0,8,1,11.1049668377303,10.1049668377303,1.73390666619709e-05,3.22545056539805e-06,9.32096854726307e-05,0,2.45375781541991e-06,2.2327974243377e-06,4525698
"18549","2020/05/13",0,0,8,1,0,0,1.72202333800587e-05,3.20334494207909e-06,9.25708729548261e-05,0,0,0,4525698
"18548","2020/05/14",1,1,9,2,19.363868610575,18.363868610575,3.85078318295156e-05,1.90863257867338e-05,7.76919103644833e-05,19.363868610575,4.27864798105728e-06,4.05768758997507e-06,4525698
"18547","2020/05/15",7,0,16,2,153.888629538279,145.888629538279,6.79420429367474e-05,3.25170815854872e-05,0.000141959886107339,134.524760927704,3.40032917658843e-05,3.22356086372265e-05,4525698
"18546","2020/05/16",13,1,29,3,519.284771059895,498.284771059895,0.000180108011968148,0.000119502095954699,0.00027145043537492,365.396141521617,0.000114741366096433,0.000110101197883707,4525698
"18545","2020/05/17",0,0,29,3,519.284771059895,498.284771059895,0.000166497347661238,0.000110471387691153,0.000250937073912099,0,0.000114741366096433,0.000110101197883707,4525698
"18544","2020/05/18",33,1,62,4,1520.88260292162,1466.88260292162,0.00041580102470868,0.000309301752704645,0.000558970295631928,1001.59783186172,0.000336054814731699,0.000324122953613259,4525698
"18543","2020/05/19",19,0,81,4,1998.09798252533,1925.09798252533,0.000449531655238025,0.000323645931584618,0.000624382046366632,477.215379603716,0.000441500511639383,0.000425370403090382,4525698
"18542","2020/05/20",0,0,81,4,1998.09798252533,1925.09798252533,0.00034679443220979,0.000241654582912418,0.000497678863617075,0,0.000441500511639383,0.000425370403090382,4525698
"18541","2020/05/21",50,0,131,4,2738.30509190376,2615.30509190376,0.000428517905209643,0.000289004722688198,0.000635379219333287,740.207109378424,0.000605056964009476,0.000577878835906364,4525698
"18540","2020/05/22",42,1,173,5,3335.58225322914,3170.58225322914,0.000543609641931219,0.000396526124157626,0.000745250879569077,597.277161325382,0.000737031559160408,0.000700573094631842,4525698
"18539","2020/05/23",0,0,173,5,3335.58225322914,3170.58225322914,0.000411851044607899,0.000294246928327225,0.000576458975829938,0,0.000737031559160408,0.000700573094631842,4525698
"18538","2020/05/24",54,1,227,6,3871.35330983409,3652.35330983409,0.000497652025165505,0.000374611834744556,0.000661104415775341,535.77105660495,0.00085541574135837,0.000807025415711364,4525698
"18537","2020/05/25",10,0,237,6,3949.49632511949,3720.49632511949,0.000409216315861966,0.000305114692135379,0.000548836216295148,78.1430152853953,0.000872682252576174,0.000822082323018347,4525698
"18536","2020/05/26",0,0,237,6,3930.13245650891,3702.13245650891,0.000328971828454583,0.000243671682636474,0.000444132296152791,0,0.000868403604595117,0.000818024635428372,4525698
"18535","2020/05/27",25,3,262,9,3990.78808817447,3744.78808817447,0.000451972384011799,0.000371402783204989,0.000550020207566838,195.180392593266,0.000881806096689278,0.000827449840483053,4525698
"18534","2020/05/28",30,7,292,16,3980.29508991118,3717.29508991118,0.000763283496685157,0.000687622519656341,0.000847269656908696,354.903143258324,0.000879487559689396,0.000821374976834774,4525698
"18533","2020/05/29",0,0,292,16,3980.29508991118,3717.29508991118,0.000662446606528917,0.000595198878898592,0.000737292226278613,0,0.000879487559689396,0.000821374976834774,4525698
"18532","2020/05/30",131,4,423,20,4459.53812422025,4098.53812422025,0.00105655447203818,0.000970868858704195,0.00114980240881739,1480.8408661708,0.000985381287973756,0.000905614586793077,4525698
"18531","2020/05/31",60,1,483,21,4611.43162674418,4209.43162674418,0.00111901556425716,0.00103122122254344,0.00121428438988224,629.108882127641,0.00101894373569429,0.00093011765847924,4525698
"18530","2020/06/01",47,2,530,23,5082.61928657399,4633.61928657399,0.00117404934217507,0.00108889028856127,0.00126586844638219,471.187659829815,0.0011230575452834,0.00102384632968749,4525698
"18529","2020/06/02",0,0,530,23,4342.41217719557,3943.41217719557,0.00101993479725747,0.000944493566414171,0.0011014018810166,0,0.000959501092913307,0.000871337896871504,4525698
"18528","2020/06/03",138,8,668,31,5161.54149098554,4666.54149098554,0.00151495491850346,0.00143221207336988,0.00160247804621398,1416.40647511535,0.00114049622643525,0.00103112083284955,4525698
"18527","2020/06/04",0,0,668,31,5161.54149098554,4666.54149098554,0.00133347447742134,0.00125928501427643,0.00141203473540566,0,0.00114049622643525,0.00103112083284955,4525698
"18526","2020/06/05",116,8,784,39,5790.04630123551,5233.04630123551,0.00173871499207235,0.00166188214265011,0.00181910001080842,1164.27586685491,0.00127937089510513,0.00115629595727234,4525698
"18525","2020/06/06",99,4,883,43,6685.01103261893,6039.01103261893,0.00191778920082419,0.0018402200211027,0.00199862808611004,973.107746668823,0.0014771226521564,0.00133438223951729,4525698
"18524","2020/06/07",64,0,947,43,7244.44955412533,6534.44955412533,0.00182909727359513,0.00175392701269279,0.00190748920112511,559.438521506393,0.00160073640665491,0.00144385452898654,4525698
"18523","2020/06/08",0,0,947,43,7049.26916153206,6364.26916153206,0.0016296128936916,0.00156169474915095,0.00170048480007357,0,0.00155760927077592,0.00140625140288461,4525698
"18522","2020/06/09",0,0,947,43,6694.36601827374,6039.36601827374,0.00146219880632419,0.0014005500670849,0.0015265611701165,0,0.00147918973344526,0.00133446067728641,4525698
"18521","2020/06/10",215,18,1162,61,8629.93860996361,7759.93860996361,0.00231148756685543,0.00224310821031586,0.00238195141329133,1935.57259168988,0.00190687461027307,0.00171463907003154,4525698
"18520","2020/06/11",0,0,1162,61,7149.09774379282,6410.09774379282,0.00211390314385364,0.00205066747091853,0.00217908879180334,0,0.00157966743335344,0.00141637770434369,4525698
"18519","2020/06/12",0,0,1162,61,6519.98886166518,5840.98886166518,0.00193588158665279,0.00187739821836625,0.00199618678705394,0,0.00144065928872523,0.0012906271831804,4525698
"18518","2020/06/13",277,13,1439,74,8383.68730146276,7474.68730146276,0.00268016267318078,0.00261322024891071,0.00274881995029152,2334.8860996274,0.00185246282484221,0.00165160982934848,4525698
"18517","2020/06/14",0,0,1439,74,8383.68730146276,7474.68730146276,0.00247695696100639,0.00241452753947313,0.00254100054208402,0,0.00185246282484221,0.00165160982934848,4525698
"18516","2020/06/15",344,13,1783,87,9874.30421320065,8759.30421320065,0.00332932242611651,0.00325755829137344,0.00340266752751459,2907.02338685325,0.00218183012061358,0.00193545928455691,4525698
"18515","2020/06/16",104,4,1887,91,10720.4528930441,9501.45289304414,0.00339234233308547,0.00332181870138937,0.00346436321164382,846.14867984349,0.0023687954638255,0.00209944474709628,4525698
"18514","2020/06/17",170,2,2057,93,10849.835948072,9576.83594807203,0.00345875331380527,0.00338771494814556,0.00353128131170172,1293.6589218828,0.00239738399426387,0.00211610141641621,4525698
"18513","2020/06/18",0,0,2057,93,9876.72820140321,8702.72820140321,0.00315943048288482,0.00309395350922472,0.00322629313802555,0,0.0021823657259948,0.00192295822686428,4525698
"18512","2020/06/19",166,2,2223,95,10396.6149823389,9120.61498233885,0.00319372974272891,0.00312839208711183,0.00326043200007194,1079.32530244204,0.00229724011242881,0.00201529465340791,4525698
"18511","2020/06/20",0,0,2223,95,10396.6149823389,9120.61498233885,0.0029404045842243,0.00287982768555129,0.00300225571214069,0,0.00229724011242881,0.00201529465340791,4525698
"18510","2020/06/21",590,13,2813,108,14114.4696787868,12248.4696787868,0.0039167383724737,0.00384510041295646,0.00398971101683466,3717.85469644799,0.00311873874014281,0.0027064266503834,4525698
"18509","2020/06/22",0,0,2813,108,12178.897087097,10527.897087097,0.00363053018709314,0.0035637157109924,0.00369859733725058,0,0.002691053863315,0.00232624825763826,4525698
"18508","2020/06/23",171,3,2984,111,13127.0100266553,11305.0100266553,0.00365575608918197,0.0035898362102072,0.00372288644969116,948.112939558335,0.00290054926922992,0.00249795943667812,4525698
"18507","2020/06/24",0,0,2984,111,13127.0100266553,11305.0100266553,0.00338103572644936,0.00331973228511851,0.00344347122048695,0,0.00290054926922992,0.00249795943667812,4525698
"18506","2020/06/25",308,3,3292,114,12298.5977962685,10445.5977962685,0.00355782959109084,0.00349463406419494,0.00362216791993576,1506.47386924062,0.00271750297882637,0.00230806337415102,4525698
"18505","2020/06/26",447,5,3739,119,14427.6889189679,12127.6889189679,0.00393510768193876,0.00386770395567109,0.00400368607471836,2129.09112269936,0.00318794778594769,0.00267973888645859,4525698
"18504","2020/06/27",0,0,3739,119,11520.6655321146,9564.66553211464,0.00366995759160268,0.00360683195991273,0.00373418802812427,0,0.00254561076150345,0.00211341223654664,4525698
"18503","2020/06/28",168,1,3907,120,11375.8047220288,9355.80472202878,0.00360366893779104,0.00354192583213017,0.00366648835370721,701.287869757633,0.00251360226025439,0.00206726227026832,4525698
"18502","2020/06/29",0,0,3907,120,10082.145800146,8232.14580014598,0.00336780328321896,0.00330989735500103,0.00342672226294971,0,0.00222775487894817,0.00181897815544607,4525698
"18501","2020/06/30",242,6,4149,126,11012.7402393416,8920.74023934161,0.00352535577300299,0.00346725051615338,0.00358443477572352,930.594439195632,0.00243337939017177,0.00197113025202778,4525698
"18500","2020/07/01",0,0,4149,126,9933.41493689957,8007.41493689957,0.00332548815339347,0.00327052372339059,0.0033813763157466,0,0.00219489124923925,0.0017693215360149,4525698
