"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"25851","2020/05/11",2,0,1457,26,111.872687443718,38.8726874437181,0.00039555416489687,0.000366703379856933,0.000426674816655094,2.95941898008423,2.05255130647189e-05,7.13205226600258e-06,5450421
"25850","2020/05/12",0,0,1457,26,101.028249314887,35.028249314887,0.000391038657218172,0.000362510722409767,0.000421811609936732,0,1.85358615994777e-05,6.42670526091232e-06,5450421
"25849","2020/05/13",8,1,1465,27,105.202603457476,36.2026034574762,0.000404024192159056,0.000375589971867952,0.000434611038835636,12.0251300557092,1.93017389771315e-05,6.64216644135861e-06,5450421
"25848","2020/05/14",4,0,1469,27,100.465291067191,34.4652910671906,0.000401219722216383,0.000372977745929885,0.000431600188622656,5.95457154413163,1.84325744868498e-05,6.32341814828444e-06,5450421
"25847","2020/05/15",8,0,1477,27,106.047478788448,36.0474787884485,0.000399784262970651,0.000371638312347102,0.00043006184133597,11.802261570019,1.94567499993943e-05,6.61370539788549e-06,5450421
"25846","2020/05/16",3,0,1480,27,108.91499881753,36.9149988175296,0.000397219765162927,0.000369249871966343,0.000427308318337001,4.38854381687653,1.99828598226687e-05,6.77287108968822e-06,5450421
"25845","2020/05/17",13,1,1493,28,120.712557996788,40.712557996788,0.000412235978543939,0.000384198928447909,0.000442319042097796,19.564082550133,2.2147382375928e-05,7.46961711706086e-06,5450421
"25844","2020/05/18",1,0,1494,28,109.998588706654,36.9985887066536,0.000409366897971473,0.000381520490038657,0.000439245758826234,1.49345511205393,2.01816682980367e-05,6.78820749932043e-06,5450421
"25843","2020/05/19",1,0,1495,28,99.4684502074758,33.4684502074758,0.000406623058233784,0.000378959302457899,0.000436306248230347,1.48245274627534,1.82496820351081e-05,6.14052569654268e-06,5450421
"25842","2020/05/20",0,0,1495,28,74.8477995491878,24.8477995491878,0.000403781360488892,0.000376307414952113,0.000433261159892394,0,1.37324803990715e-05,4.55887711227956e-06,5450421
"25841","2020/05/21",1,0,1496,28,61.1324181572261,20.1324181572261,0.000401419021720873,0.000374102360833816,0.000430730323754686,1.46250178194311,1.12160910427334e-05,3.69373634756399e-06,5450421
"25840","2020/05/22",6,0,1502,28,69.8547333900967,22.8547333900967,0.000400608732174747,0.000373343810364896,0.00042986478371719,8.72231523287063,1.28163922365074e-05,4.19320514692291e-06,5450421
"25839","2020/05/23",1,0,1503,28,68.3409354773648,22.3409354773648,0.000398642318498058,0.000371508256204828,0.000427758186913321,1.4456210673523,1.25386526063518e-05,4.09893758250322e-06,5450421
"25838","2020/05/24",1,0,1504,28,69.77899493808,22.77899493808,0.000396820984822232,0.00036980833259748,0.00042580677641648,1.43805946071528,1.28024963462602e-05,4.17930925667578e-06,5450421
"25837","2020/05/25",5,0,1509,28,64.9090247971797,20.9090247971797,0.00039619458061851,0.000369222037520248,0.000425137531783619,7.15515991480888,1.19089928644374e-05,3.83622197206045e-06,5450421
"25836","2020/05/26",2,0,1511,28,61.8033971855841,19.8033971855841,0.00039490108030756,0.000368014454135827,0.000423752006138653,2.84894393253608,1.13391969511317e-05,3.63337019022643e-06,5450421
"25835","2020/05/27",2,0,1513,28,52.837686791557,16.837686791557,0.000393703709243348,0.000366896135135493,0.000422470001257246,2.83655117599185,9.69423954435024e-06,3.08924517786002e-06,5450421
"25834","2020/05/28",2,0,1515,28,51.2739970583141,16.2739970583141,0.000392598474200894,0.000365864064018754,0.000421286420567857,2.82485408363368,9.40734615882225e-06,2.98582385806787e-06,5450421
"25833","2020/05/29",5,0,1520,28,38.7444917222247,11.7444917222247,0.000392357117563809,0.000365637413576569,0.000421029418726983,7.03457721404359,7.10853193216169e-06,2.15478615729403e-06,5450421
"25832","2020/05/30",0,0,1520,28,37.2510366101707,11.2510366101707,0.00039089619839111,0.000364273932037857,0.000419464102363335,0,6.83452463766941e-06,2.06425092853758e-06,5450421
"25831","2020/05/31",1,0,1521,28,37.1652551567925,11.1652551567925,0.000389756504405152,0.000363210165922053,0.00041824306415125,1.39667129289706,6.81878613721627e-06,2.04851242808445e-06,5450421
"25830","2020/06/01",1,0,1522,28,38.5572118581391,11.5572118581391,0.000388696230887404,0.000362220432070868,0.000417107226785359,1.39195670134662,7.07417130862718e-06,2.12042553375952e-06,5450421
"25829","2020/06/02",0,0,1522,28,37.094710076196,11.094710076196,0.000387465269980637,0.000361071989267023,0.000415787820445255,0,6.80584308555173e-06,2.03556937641991e-06,5450421
"25828","2020/06/03",0,0,1522,28,28.3723948433253,8.37239484332534,0.00038632157206013,0.000360004552561159,0.000414562415884049,0,5.20554189177778e-06,1.53610057706099e-06,5450421
"25827","2020/06/04",3,0,1525,28,31.0658150838886,9.06581508388858,0.000386027549955694,0.000359729252924326,0.000414248405191956,4.13904130791553,5.69970926720864e-06,1.66332382102017e-06,5450421
"25826","2020/06/05",1,0,1526,28,31.0039382612922,9.00393826129216,0.000385301375025779,0.000359051575282954,0.000413470263930086,1.37618263811886,5.6883565987457e-06,1.65197115255724e-06,5450421
"25825","2020/06/06",0,0,1526,28,23.8487783464833,6.84877834648328,0.000384377516853554,0.000358189368676758,0.000412480348058111,0,4.37558462850545e-06,1.25655951099618e-06,5450421
"25824","2020/06/07",2,0,1528,28,23.7393930737296,6.7393930737296,0.000384011219697295,0.000357847066558732,0.00041208837694692,2.7395586597824,4.35551548655225e-06,1.23649036904298e-06,5450421
"25823","2020/06/08",0,0,1528,28,20.9028418977377,5.90284189773775,0.000383194056484256,0.00035708462445613,0.000411212566624803,0,3.8350875827276e-06,1.08300659669001e-06,5450421
"25822","2020/06/09",2,0,1530,28,20.8062191012997,5.80621910129974,0.000382923986001208,0.00035683200476458,0.000410923843985891,2.72823128719567,3.81735999866794e-06,1.06527901263035e-06,5450421
"25821","2020/06/10",1,0,1531,28,15.1331639334058,4.13316393340584,0.000382445732660867,0.000356385393230644,0.000410411709370614,1.36152204614969,2.77651284798107e-06,7.58320124886837e-07,5450421
