"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"23381","2020/06/10",139,0,5185,142,5497.1571037713,3798.1571037713,0.00497662658608211,0.00490176924555249,0.00505262711005235,391.356881473988,0.00187398568481236,0.00129479509258571,2933404
"23380","2020/06/11",144,1,5329,143,5314.77128329201,3632.77128329201,0.00498201473722524,0.00490746366644236,0.00505769834052036,394.905933943687,0.00181181019842204,0.00123841492112645,2933404
"23379","2020/06/12",23,1,5352,144,5126.40754238665,3492.40754238665,0.00487835294955838,0.00480573129662522,0.00495207202224915,61.4974105530392,0.00174759683370809,0.00119056479857076,2933404
"23378","2020/06/13",184,2,5536,146,5406.7926556957,3646.7926556957,0.00495997047608463,0.00488697055848052,0.0050340608418317,483.584879178984,0.00184318036509656,0.0012431948192938,2933404
"23377","2020/06/14",154,0,5690,146,5468.86740055901,3651.86740055901,0.00494952266272847,0.00487660720867934,0.00502352835497224,392.955753048946,0.00186434170014052,0.00124492480427483,2933404
"23376","2020/06/15",121,1,5811,147,5561.87608920078,3685.87608920078,0.00494506530908281,0.00487259517046407,0.00501861329652906,302.049698383909,0.00189604844378776,0.00125651839610254,2933404
"23375","2020/06/16",79,0,5890,147,5460.23833478605,3593.23833478605,0.00487285993617627,0.0048013866651384,0.0049453971557834,191.720081397168,0.00186140004403964,0.0012249381042591,2933404
"23374","2020/06/17",61,0,5951,147,4027.53511631573,2584.53511631573,0.00479014905158248,0.00471983194842004,0.00486151375454321,144.032597159974,0.00137299025852413,0.000881070291141531,2933404
"23373","2020/06/18",52,0,6003,147,3790.01375426299,2407.01375426299,0.00470692836434405,0.00463778068532261,0.0047771070109421,119.60365976468,0.00129201901758605,0.000820553102901269,2933404
"23372","2020/06/19",108,0,6111,147,3112.96214506184,1916.96214506184,0.00467457806174596,0.00460585799287905,0.00474432344400125,242.340370862525,0.00106121152935697,0.000653494078913727,2933404
"23371","2020/06/20",0,0,6111,147,2901.80797835229,1775.80797835229,0.00456699041402129,0.00449980914470973,0.00463517468652724,0,0.000989228888469604,0.000605374499507157,2933404
"23370","2020/06/21",352,0,6463,147,3479.01740921498,2062.01740921498,0.00472551765053126,0.00465596357973874,0.00479611076913439,754.970143448078,0.00118600009041202,0.000702943545865137,2933404
"23369","2020/06/22",62,2,6525,149,3219.62200214691,1879.62200214691,0.00473439082232938,0.00466550260200366,0.00480429620785776,131.96147440592,0.0010975719683163,0.00064076479139829,2933404
"23368","2020/06/23",39,0,6564,149,2905.95402618605,1670.95402618605,0.00466112858504279,0.00459326871013273,0.00472999100583322,81.2379579828268,0.000990642279817594,0.00056962969512077,2933404
"23367","2020/06/24",121,0,6685,149,3091.19304493945,1758.19304493945,0.00464705098007978,0.00457935942679931,0.00471574314195164,246.736429306442,0.00105379042400551,0.000599369553235576,2933404
"23366","2020/06/25",135,0,6820,149,2877.27644734044,1593.27644734044,0.00464417518925279,0.00457649105000064,0.00471286034492915,269.668281579972,0.000980866068001693,0.000543149340268316,2933404
"23365","2020/06/26",57,2,6877,151,2597.41111380536,1410.41111380536,0.0046513401877904,0.00458431712992208,0.00471934312775647,113.090419513862,0.000885459729994694,0.000480810387456128,2933404
"23364","2020/06/27",45,0,6922,151,2382.90721601313,1271.90721601313,0.00459073812991214,0.00452455714665639,0.00465788714659143,87.5458005916867,0.000812335162839191,0.000433594287051198,2933404
"23363","2020/06/28",144,1,7066,152,2467.92630344443,1291.92630344443,0.00462924209226889,0.00456286597341163,0.00469658378609157,276.739168828461,0.00084131824441653,0.000440418811539231,2933404
"23362","2020/06/29",123,1,7189,153,2557.56918348308,1319.56918348308,0.0046559105776225,0.00458951062100281,0.00472327119314532,233.675477198628,0.000871877580954782,0.000449842293623068,2933404
"23361","2020/06/30",61,0,7250,153,2551.82113088721,1304.82113088721,0.00461307712296601,0.00454726129417617,0.00467984555224196,113.855607168805,0.000869918064776351,0.000444814669539963,2933404
"23360","2020/07/01",215,0,7465,153,2703.87311447328,1349.87311447328,0.00466818393343169,0.00460155575645219,0.00473577685238164,394.392354448602,0.000921752719527649,0.00046017293031348,2933404
"23359","2020/07/02",72,0,7537,153,2833.70113393888,1407.70113393888,0.00463300288822695,0.00456685155501716,0.00470011243057332,129.8280194656,0.000966011205391035,0.000479886552939481,2933404
"23358","2020/07/03",71,0,7608,153,2204.56658762836,1059.56658762836,0.00459667490383625,0.00453101756972697,0.00466328365458783,125.835597137554,0.000751538685986779,0.000361207180336688,2933404
"23357","2020/07/04",75,1,7683,154,2204.14312897883,1046.14312897882,0.00459355558732585,0.00452829562303213,0.00465975605181967,131.538015756384,0.00075139432856123,0.000356631111493277,2933404
"23356","2020/07/05",4,1,7687,155,2129.85049079218,1006.85049079218,0.00455006140249343,0.00448576503174138,0.0046152793603689,6.94531979618569,0.000726067902952401,0.000343236216624844,2933404
"23355","2020/07/06",229,0,7916,155,2274.52315832365,1043.52315832365,0.00461242522215513,0.00454722620948581,0.00467855907093271,391.409096837911,0.000775386942379452,0.000355737961195816,2933404
"23354","2020/07/07",669,0,8585,155,3131.12134224842,1366.12134224842,0.00492701012893768,0.00485734236356338,0.00499767712334896,1126.26646550474,0.00106740201562704,0.000465711965432793,2933404
"23353","2020/07/08",129,2,8714,157,3234.4183332415,1397.4183332415,0.00498296635950369,0.00491327535880494,0.00505364587300169,216.387410506946,0.00110261605058202,0.000476381137150389,2933404
"23352","2020/07/09",190,2,8904,159,3463.55277963883,1481.55277963883,0.00505918598897075,0.00498918507544581,0.00513016905245009,316.680246989021,0.00118072818460697,0.000505062643822274,2933404
"23351","2020/07/10",0,0,8904,159,3186.81361081037,1348.81361081037,0.00495576726361558,0.00488716901857734,0.00502532838086152,0,0.00108638755889416,0.000459811744584235,2933404
"23350","2020/07/11",392,0,9296,159,3579.79555765006,1472.79555765006,0.00506603699954831,0.00499588351010303,0.00513717560245177,626.657424038319,0.00122035544972669,0.00050207729915486,2933404
"23349","2020/07/12",237,8,9533,167,3855.57946437583,1572.57946437583,0.00534284235332741,0.0052719379900476,0.00541470033721916,389.639513894572,0.00131437042574969,0.000536093720597582,2933404
