Timestamp,Περιοχή,"Με πόσα περίπου άτομα έρχεστε σε επαφή τώρα (στο σπίτι, τηλέφωνο, τηλεδιάσκεψη κτλ.) ?","Πόσα από τα στενά σας πρόσωπα (συγγενείς, φίλοι, συνεργάτες) γνωρίζετε ότι έχουν προσβληθεί (ή έχουν συμπτώματα) του #COVID19 και βρίσκονται στην Κύπρο τώρα?"
2020/03/20 3:57:22 PM GMT+1,,3,0
2020/03/20 3:57:27 PM GMT+1,,3,0
2020/03/20 3:57:40 PM GMT+1,,6,0
2020/03/20 3:58:04 PM GMT+1,,20,0
2020/03/20 3:58:37 PM GMT+1,,20,0
2020/03/20 3:58:39 PM GMT+1,,30,0
2020/03/20 3:59:53 PM GMT+1,,100,0
2020/03/20 4:01:33 PM GMT+1,,,0
2020/03/20 4:04:03 PM GMT+1,,6,0
2020/03/20 4:04:42 PM GMT+1,,15,0
2020/03/20 4:04:56 PM GMT+1,,4,0
2020/03/20 4:05:06 PM GMT+1,,25,0
2020/03/20 4:05:09 PM GMT+1,,3,0
2020/03/20 4:05:18 PM GMT+1,,15,0
2020/03/20 4:07:15 PM GMT+1,,2,0
2020/03/20 4:07:16 PM GMT+1,,5,0
2020/03/20 4:08:11 PM GMT+1,,25,0
2020/03/20 4:08:22 PM GMT+1,,2,0
2020/03/20 4:09:03 PM GMT+1,,35,0
2020/03/20 4:09:13 PM GMT+1,,3,0
2020/03/20 4:09:38 PM GMT+1,,7,0
2020/03/20 4:10:06 PM GMT+1,,5,1
2020/03/20 4:10:14 PM GMT+1,,8,0
2020/03/20 4:10:18 PM GMT+1,,5,0
2020/03/20 4:10:18 PM GMT+1,,8,0
2020/03/20 4:10:44 PM GMT+1,,4,0
2020/03/20 4:10:55 PM GMT+1,,6,0
2020/03/20 4:11:23 PM GMT+1,,20,0
2020/03/20 4:11:27 PM GMT+1,,30,0
2020/03/20 4:13:11 PM GMT+1,,,0
2020/03/20 4:13:23 PM GMT+1,,5,0
2020/03/20 4:13:36 PM GMT+1,,3,0
2020/03/20 4:13:50 PM GMT+1,,20,0
2020/03/20 4:14:15 PM GMT+1,,30,0
2020/03/20 4:14:18 PM GMT+1,,4,1
2020/03/20 4:14:26 PM GMT+1,,3,0
2020/03/20 4:14:40 PM GMT+1,,6,0
2020/03/20 4:15:12 PM GMT+1,,50,0
2020/03/20 4:15:52 PM GMT+1,,5,0
2020/03/20 4:16:08 PM GMT+1,,6,0
2020/03/20 4:16:40 PM GMT+1,,12,0
2020/03/20 4:16:53 PM GMT+1,,0,0
2020/03/20 4:16:56 PM GMT+1,,20,0
2020/03/20 4:17:07 PM GMT+1,,8,0
2020/03/20 4:17:29 PM GMT+1,,8,0
2020/03/20 4:17:40 PM GMT+1,,6,0
2020/03/20 4:17:52 PM GMT+1,,5,0
2020/03/20 4:18:05 PM GMT+1,,1000,0
2020/03/20 4:19:09 PM GMT+1,,15,0
2020/03/20 4:19:15 PM GMT+1,,5,0
2020/03/20 4:19:17 PM GMT+1,,40,0
2020/03/20 4:19:52 PM GMT+1,,55,0
2020/03/20 4:20:40 PM GMT+1,,5,0
2020/03/20 4:21:31 PM GMT+1,,15,0
2020/03/20 4:22:13 PM GMT+1,,25,0
2020/03/20 4:22:23 PM GMT+1,,3,0
2020/03/20 4:22:35 PM GMT+1,,5,0
2020/03/20 4:23:12 PM GMT+1,,30,0
2020/03/20 4:23:34 PM GMT+1,,6,0
2020/03/20 4:23:47 PM GMT+1,,4,0
2020/03/20 4:24:07 PM GMT+1,,50,5
2020/03/20 4:25:05 PM GMT+1,,3,0
2020/03/20 4:25:20 PM GMT+1,,5,0
2020/03/20 4:25:25 PM GMT+1,,10,0
2020/03/20 4:25:33 PM GMT+1,,10,0
2020/03/20 4:25:40 PM GMT+1,,7,0
2020/03/20 4:25:56 PM GMT+1,,7,0
2020/03/20 4:25:56 PM GMT+1,,,1
2020/03/20 4:26:44 PM GMT+1,,4,0
2020/03/20 4:27:11 PM GMT+1,,6,0
2020/03/20 4:27:32 PM GMT+1,,20,0
2020/03/20 4:27:48 PM GMT+1,,8,0
2020/03/20 4:27:49 PM GMT+1,,40,0
2020/03/20 4:27:56 PM GMT+1,,5,0
2020/03/20 4:28:18 PM GMT+1,,100,0
2020/03/20 4:28:28 PM GMT+1,,4,0
2020/03/20 4:28:44 PM GMT+1,,10,0
2020/03/20 4:28:48 PM GMT+1,,10,2
2020/03/20 4:28:56 PM GMT+1,,30,0
2020/03/20 4:28:56 PM GMT+1,,2,0
2020/03/20 4:29:09 PM GMT+1,,40,0
2020/03/20 4:29:16 PM GMT+1,,10,0
2020/03/20 4:30:54 PM GMT+1,,10,0
2020/03/20 4:31:32 PM GMT+1,,2,0
2020/03/20 4:31:45 PM GMT+1,,0,0
2020/03/20 4:32:18 PM GMT+1,,5,1
2020/03/20 4:32:26 PM GMT+1,,5,0
2020/03/20 4:32:47 PM GMT+1,,5,0
2020/03/20 4:32:57 PM GMT+1,,10,0
2020/03/20 4:33:32 PM GMT+1,,15,0
2020/03/20 4:34:01 PM GMT+1,,50,0
2020/03/20 4:34:16 PM GMT+1,,20,0
2020/03/20 4:34:21 PM GMT+1,,3,0
2020/03/20 4:34:54 PM GMT+1,,4,0
2020/03/20 4:35:00 PM GMT+1,,,0
2020/03/20 4:36:05 PM GMT+1,,3,0
2020/03/20 4:36:24 PM GMT+1,,10,0
2020/03/20 4:37:16 PM GMT+1,,30,0
2020/03/20 4:37:18 PM GMT+1,,1,0
2020/03/20 4:37:26 PM GMT+1,,5,0
2020/03/20 4:37:53 PM GMT+1,,5,0
2020/03/20 4:38:20 PM GMT+1,,,0
2020/03/20 4:39:10 PM GMT+1,,4,0
2020/03/20 4:39:59 PM GMT+1,,1,0
2020/03/20 4:40:42 PM GMT+1,,10,0
2020/03/20 4:40:42 PM GMT+1,,4,0
2020/03/20 4:41:10 PM GMT+1,,7,0
2020/03/20 4:42:07 PM GMT+1,,7,0
2020/03/20 4:42:16 PM GMT+1,,4,0
2020/03/20 4:44:30 PM GMT+1,,20,0
2020/03/20 4:46:23 PM GMT+1,,10,0
2020/03/20 4:47:04 PM GMT+1,,10,0
2020/03/20 4:47:24 PM GMT+1,,12,0
2020/03/20 4:47:33 PM GMT+1,,3,12
2020/03/20 4:47:57 PM GMT+1,,4,0
2020/03/20 4:48:19 PM GMT+1,,25,0
2020/03/20 4:48:24 PM GMT+1,,10,0
2020/03/20 4:48:34 PM GMT+1,,10,0
2020/03/20 4:48:44 PM GMT+1,,30,0
2020/03/20 4:48:51 PM GMT+1,,20,0
2020/03/20 4:49:54 PM GMT+1,,8,0
2020/03/20 4:50:37 PM GMT+1,,6,0
2020/03/20 4:51:18 PM GMT+1,,5,0
2020/03/20 4:52:46 PM GMT+1,,20,0
2020/03/20 4:53:08 PM GMT+1,,,0
