"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","sumreach_regs_rhs","p_w_regs","p_m_regs","population_country","p_w_country_only","p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country"
"32","IT","IT36","ITTS",234493,NA,NA,0,1215220,0,0,40,0,0,0,0,0,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"33","IT","IT36","ITUD",528791,NA,NA,0,1215220,0,0,40,0,0,0,0,0,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"34","IT","IT36","ITGO",139403,NA,NA,0,1215220,0,0,40,0,0,0,0,0,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"35","IT","IT42","ITIM",213840,NA,NA,0,1550640,0,0,50,0,0,0,0,0,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"36","IT","IT42","ITSV",276064,NA,NA,0,1550640,0,0,50,0,0,0,0,0,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"37","IT","IT42","ITSP",219556,NA,NA,0,1550640,0,0,50,0,0,0,0,0,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"38","IT","IT42","ITGE",841180,NA,NA,0,1550640,0,0,50,0,0,0,0,0,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"39","IT","IT45","ITRN",339017,NA,NA,0,4459477,0.02,0.02,100,0,0,0,0.02,0.02,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"40","IT","IT45","ITFE",345691,NA,NA,0,4459477,0.02,0.02,100,0,0,0,0.02,0.02,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"41","IT","IT45","ITPC",287152,NA,NA,0,4459477,0.02,0.02,100,0,0,0,0.02,0.02,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"42","IT","IT45","ITMO",705393,NA,NA,0,4459477,0.02,0.02,100,0,0,0,0.02,0.02,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
